,0
0,x_max
1,x_min
2,x_mean
3,x_median
4,x_variance
5,x_standard_deviation
6,x_1st_percentile
7,x_99th_percentile
8,x_displacement_between_99th_percentile_and_1st_percentile
9,x_skewness
10,x_kurtosis
11,y_max
12,y_min
13,y_mean
14,y_median
15,y_variance
16,y_standard_deviation
17,y_1st_percentile
18,y_99th_percentile
19,y_displacement_between_99th_percentile_and_1st_percentile
20,y_skewness
21,y_kurtosis
22,pressure_max
23,pressure_min
24,pressure_mean
25,pressure_median
26,pressure_variance
27,pressure_standard_deviation
28,pressure_1st_percentile
29,pressure_99th_percentile
30,pressure_displacement_between_99th_percentile_and_1st_percentile
31,pressure_skewness
32,pressure_kurtosis
33,azimuth_max
34,azimuth_min
35,azimuth_mean
36,azimuth_median
37,azimuth_variance
38,azimuth_standard_deviation
39,azimuth_1st_percentile
40,azimuth_99th_percentile
41,azimuth_displacement_between_99th_percentile_and_1st_percentile
42,azimuth_skewness
43,azimuth_kurtosis
44,altitude_max
45,altitude_min
46,altitude_mean
47,altitude_median
48,altitude_variance
49,altitude_standard_deviation
50,altitude_1st_percentile
51,altitude_99th_percentile
52,altitude_displacement_between_99th_percentile_and_1st_percentile
53,altitude_skewness
54,altitude_kurtosis
55,displacement_max
56,displacement_min
57,displacement_mean
58,displacement_median
59,displacement_variance
60,displacement_standard_deviation
61,displacement_1st_percentile
62,displacement_99th_percentile
63,displacement_displacement_between_99th_percentile_and_1st_percentile
64,displacement_skewness
65,displacement_kurtosis
66,velocity_max
67,velocity_min
68,velocity_mean
69,velocity_median
70,velocity_variance
71,velocity_standard_deviation
72,velocity_1st_percentile
73,velocity_99th_percentile
74,velocity_displacement_between_99th_percentile_and_1st_percentile
75,velocity_skewness
76,velocity_kurtosis
77,accleration_max
78,accleration_min
79,accleration_mean
80,accleration_median
81,accleration_variance
82,accleration_standard_deviation
83,accleration_1st_percentile
84,accleration_99th_percentile
85,accleration_displacement_between_99th_percentile_and_1st_percentile
86,accleration_skewness
87,accleration_kurtosis
88,jerk_max
89,jerk_min
90,jerk_mean
91,jerk_median
92,jerk_variance
93,jerk_standard_deviation
94,jerk_1st_percentile
95,jerk_99th_percentile
96,jerk_displacement_between_99th_percentile_and_1st_percentile
97,jerk_skewness
98,jerk_kurtosis
99,x_displacement_max
100,x_displacement_min
101,x_displacement_mean
102,x_displacement_median
103,x_displacement_variance
104,x_displacement_standard_deviation
105,x_displacement_1st_percentile
106,x_displacement_99th_percentile
107,x_displacement_displacement_between_99th_percentile_and_1st_percentile
108,x_displacement_skewness
109,x_displacement_kurtosis
110,x_velocity_max
111,x_velocity_min
112,x_velocity_mean
113,x_velocity_median
114,x_velocity_variance
115,x_velocity_standard_deviation
116,x_velocity_1st_percentile
117,x_velocity_99th_percentile
118,x_velocity_displacement_between_99th_percentile_and_1st_percentile
119,x_velocity_skewness
120,x_velocity_kurtosis
121,x_accleration_max
122,x_accleration_min
123,x_accleration_mean
124,x_accleration_median
125,x_accleration_variance
126,x_accleration_standard_deviation
127,x_accleration_1st_percentile
128,x_accleration_99th_percentile
129,x_accleration_displacement_between_99th_percentile_and_1st_percentile
130,x_accleration_skewness
131,x_accleration_kurtosis
132,x_jerk_max
133,x_jerk_min
134,x_jerk_mean
135,x_jerk_median
136,x_jerk_variance
137,x_jerk_standard_deviation
138,x_jerk_1st_percentile
139,x_jerk_99th_percentile
140,x_jerk_displacement_between_99th_percentile_and_1st_percentile
141,x_jerk_skewness
142,x_jerk_kurtosis
143,y_displacement_max
144,y_displacement_min
145,y_displacement_mean
146,y_displacement_median
147,y_displacement_variance
148,y_displacement_standard_deviation
149,y_displacement_1st_percentile
150,y_displacement_99th_percentile
151,y_displacement_displacement_between_99th_percentile_and_1st_percentile
152,y_displacement_skewness
153,y_displacement_kurtosis
154,y_velocity_max
155,y_velocity_min
156,y_velocity_mean
157,y_velocity_median
158,y_velocity_variance
159,y_velocity_standard_deviation
160,y_velocity_1st_percentile
161,y_velocity_99th_percentile
162,y_velocity_displacement_between_99th_percentile_and_1st_percentile
163,y_velocity_skewness
164,y_velocity_kurtosis
165,y_accleration_max
166,y_accleration_min
167,y_accleration_mean
168,y_accleration_median
169,y_accleration_variance
170,y_accleration_standard_deviation
171,y_accleration_1st_percentile
172,y_accleration_99th_percentile
173,y_accleration_displacement_between_99th_percentile_and_1st_percentile
174,y_accleration_skewness
175,y_accleration_kurtosis
176,y_jerk_max
177,y_jerk_min
178,y_jerk_mean
179,y_jerk_median
180,y_jerk_variance
181,y_jerk_standard_deviation
182,y_jerk_1st_percentile
183,y_jerk_99th_percentile
184,y_jerk_displacement_between_99th_percentile_and_1st_percentile
185,y_jerk_skewness
186,y_jerk_kurtosis
187,x_displacement_no_abs_max
188,x_displacement_no_abs_min
189,x_displacement_no_abs_mean
190,x_displacement_no_abs_median
191,x_displacement_no_abs_variance
192,x_displacement_no_abs_standard_deviation
193,x_displacement_no_abs_1st_percentile
194,x_displacement_no_abs_99th_percentile
195,x_displacement_no_abs_displacement_between_99th_percentile_and_1st_percentile
196,x_displacement_no_abs_skewness
197,x_displacement_no_abs_kurtosis
198,x_velocity_no_abs_max
199,x_velocity_no_abs_min
200,x_velocity_no_abs_mean
201,x_velocity_no_abs_median
202,x_velocity_no_abs_variance
203,x_velocity_no_abs_standard_deviation
204,x_velocity_no_abs_1st_percentile
205,x_velocity_no_abs_99th_percentile
206,x_velocity_no_abs_displacement_between_99th_percentile_and_1st_percentile
207,x_velocity_no_abs_skewness
208,x_velocity_no_abs_kurtosis
209,x_accleration_no_abs_max
210,x_accleration_no_abs_min
211,x_accleration_no_abs_mean
212,x_accleration_no_abs_median
213,x_accleration_no_abs_variance
214,x_accleration_no_abs_standard_deviation
215,x_accleration_no_abs_1st_percentile
216,x_accleration_no_abs_99th_percentile
217,x_accleration_no_abs_displacement_between_99th_percentile_and_1st_percentile
218,x_accleration_no_abs_skewness
219,x_accleration_no_abs_kurtosis
220,x_jerk_no_abs_max
221,x_jerk_no_abs_min
222,x_jerk_no_abs_mean
223,x_jerk_no_abs_median
224,x_jerk_no_abs_variance
225,x_jerk_no_abs_standard_deviation
226,x_jerk_no_abs_1st_percentile
227,x_jerk_no_abs_99th_percentile
228,x_jerk_no_abs_displacement_between_99th_percentile_and_1st_percentile
229,x_jerk_no_abs_skewness
230,x_jerk_no_abs_kurtosis
231,y_displacement_no_abs_max
232,y_displacement_no_abs_min
233,y_displacement_no_abs_mean
234,y_displacement_no_abs_median
235,y_displacement_no_abs_variance
236,y_displacement_no_abs_standard_deviation
237,y_displacement_no_abs_1st_percentile
238,y_displacement_no_abs_99th_percentile
239,y_displacement_no_abs_displacement_between_99th_percentile_and_1st_percentile
240,y_displacement_no_abs_skewness
241,y_displacement_no_abs_kurtosis
242,y_velocity_no_abs_max
243,y_velocity_no_abs_min
244,y_velocity_no_abs_mean
245,y_velocity_no_abs_median
246,y_velocity_no_abs_variance
247,y_velocity_no_abs_standard_deviation
248,y_velocity_no_abs_1st_percentile
249,y_velocity_no_abs_99th_percentile
250,y_velocity_no_abs_displacement_between_99th_percentile_and_1st_percentile
251,y_velocity_no_abs_skewness
252,y_velocity_no_abs_kurtosis
253,y_accleration_max
254,y_accleration_min
255,y_accleration_mean
256,y_accleration_median
257,y_accleration_variance
258,y_accleration_standard_deviation
259,y_accleration_1st_percentile
260,y_accleration_99th_percentile
261,y_accleration_displacement_between_99th_percentile_and_1st_percentile
262,y_accleration_skewness
263,y_accleration_kurtosis
264,y_jerk_no_abs_max
265,y_jerk_no_abs_min
266,y_jerk_no_abs_mean
267,y_jerk_no_abs_median
268,y_jerk_no_abs_variance
269,y_jerk_no_abs_standard_deviation
270,y_jerk_no_abs_1st_percentile
271,y_jerk_no_abs_99th_percentile
272,y_jerk_no_abs_displacement_between_99th_percentile_and_1st_percentile
273,y_jerk_no_abs_skewness
274,y_jerk_no_abs_kurtosis
275,pressure_Number_of_changing_point
276,Number_of_stroke
277,in_air_time
278,on_surface_time
279,ratio_of_in_air_time
280,ratio_of_on_surface_time
281,overall_time
282,Shannon_Entropy(x)
283,Shannon_Entropy(y)
284,Shannon_Entropy(displacement)
285,Shannon_Entropy(velocity)
286,Shannon_Entropy(accleration)
287,Shannon_Entropy(jerk)
288,"Renyi_Entropy(x,2)"
289,"Renyi_Entropy(y,2)"
290,"Renyi_Entropy(displacement,2)"
291,"Renyi_Entropy(velocity,2)"
292,"Renyi_Entropy(accleration,2)"
293,"Renyi_Entropy(jerk,2)"
294,"Renyi_Entropy(x,3)"
295,"Renyi_Entropy(y,3)"
296,"Renyi_Entropy(displacement,3)"
297,"Renyi_Entropy(velocity,3)"
298,"Renyi_Entropy(accleration,3)"
299,"Renyi_Entropy(jerk,3)"
300,conventional_energy(x)
301,conventional_energy(y)
302,conventional_energy(displacement)
303,conventional_energy(velocity)
304,conventional_energy(accleration)
305,conventional_energy(jerk)
306,"teager_kaiser_energy(x,1)"
307,"teager_kaiser_energy(y,1)"
308,"teager_kaiser_energy(displacement,1)"
309,"teager_kaiser_energy(velocity,1)"
310,"teager_kaiser_energy(accleration,1)"
311,"teager_kaiser_energy(jerk,1)"
312,SNRce(x)
313,SNRce(y)
314,SNRce(displacement)
315,SNRce(velocity)
316,SNRce(accleration)
317,SNRce(jerk)
318,"SNRtke_r(x,1)"
319,"SNRtke_r(y,1)"
320,"SNRtke_r(displacement,1)"
321,"SNRtke_r(velocity,1)"
322,"SNRtke_r(accleration,1)"
323,"SNRtke_r(jerk,1)"
324,intrinsic_feature_shannon_entropy(x)
325,"intrinsic_feature_renyi_entropy(x,2)"
326,"intrinsic_feature_renyi_entropy(x,3)"
327,intrinsic_feature_conventional_energy(x)
328,"intrinsic_feature_teager_kaiser_energy(x,1)"
329,intrinsic_feature_shannon_entropy(y)
330,"intrinsic_feature_renyi_entropy(y,2)"
331,"intrinsic_feature_renyi_entropy(y,3)"
332,intrinsic_feature_conventional_energy(y)
333,"intrinsic_feature_teager_kaiser_energy(y,1)"
334,intrinsic_feature_shannon_entropy(displacement)
335,"intrinsic_feature_renyi_entropy(displacement,2)"
336,"intrinsic_feature_renyi_entropy(displacement,3)"
337,intrinsic_feature_conventional_energy(displacement)
338,"intrinsic_feature_teager_kaiser_energy(displacement,1)"
339,intrinsic_feature_shannon_entropy(velocity)
340,"intrinsic_feature_renyi_entropy(velocity,2)"
341,"intrinsic_feature_renyi_entropy(velocity,3)"
342,intrinsic_feature_conventional_energy(velocity)
343,"intrinsic_feature_teager_kaiser_energy(velocity,1)"
344,intrinsic_feature_shannon_entropy(accleration)
345,"intrinsic_feature_renyi_entropy(accleration,2)"
346,"intrinsic_feature_renyi_entropy(accleration,3)"
347,intrinsic_feature_conventional_energy(accleration)
348,"intrinsic_feature_teager_kaiser_energy(accleration,1)"
349,intrinsic_feature_shannon_entropy(jerk)
350,"intrinsic_feature_renyi_entropy(jerk,2)"
351,"intrinsic_feature_renyi_entropy(jerk,3)"
352,intrinsic_feature_conventional_energy(jerk)
353,"intrinsic_feature_teager_kaiser_energy(jerk,1)"
