,feature,score,param
0,x_max,0.7916666666666666,"{'C': 0.4169242130046982, 'kernel': 'sigmoid', 'gamma': 447.3287738005599, 'degree': 4, 'coef0': 57.499037012242525, 'random_state': 42}"
1,x_min,0.6666666666666666,"{'C': 23.868284662532563, 'kernel': 'sigmoid', 'gamma': 956.9971457096029, 'degree': 5, 'coef0': 229.58017932554708, 'random_state': 42}"
2,x_mean,0.7083333333333334,"{'C': 187.14104186472002, 'kernel': 'sigmoid', 'gamma': 822.2434159948172, 'degree': 3, 'coef0': 17.271217821100734, 'random_state': 42}"
3,x_median,0.6527777777777778,"{'C': 604.1046756255294, 'kernel': 'rbf', 'gamma': 972.7130797582648, 'degree': 5, 'coef0': 500.55176313559855, 'random_state': 42}"
4,x_variance,0.5972222222222222,"{'C': 1.181471142315531, 'kernel': 'rbf', 'gamma': 912.2274613331084, 'degree': 3, 'coef0': 362.3096614267991, 'random_state': 42}"
5,x_standard_deviation,0.5833333333333334,"{'C': 320.9280631989911, 'kernel': 'rbf', 'gamma': 136.9714105385252, 'degree': 3, 'coef0': 849.1530706689152, 'random_state': 42}"
6,x_1st_percentile,0.6666666666666666,"{'C': 379.9028418895135, 'kernel': 'rbf', 'gamma': 39.45276935024334, 'degree': 2, 'coef0': 262.61974002115846, 'random_state': 42}"
7,x_99th_percentile,0.75,"{'C': 949.2640757541506, 'kernel': 'sigmoid', 'gamma': 587.6421352133807, 'degree': 4, 'coef0': 51.29816972482935, 'random_state': 42}"
8,x_displacement_between_99th_percentile_and_1st_percentile,0.625,"{'C': 186.7120378121518, 'kernel': 'rbf', 'gamma': 19.55308333444177, 'degree': 2, 'coef0': 928.7344940402003, 'random_state': 42}"
9,x_skewness,0.625,"{'C': 716.6108616164577, 'kernel': 'rbf', 'gamma': 0.18517373221027356, 'degree': 4, 'coef0': 704.498668427033, 'random_state': 42}"
10,x_kurtosis,0.6805555555555556,"{'C': 641.3873307276381, 'kernel': 'sigmoid', 'gamma': 905.5251529361308, 'degree': 4, 'coef0': 567.3562199339781, 'random_state': 42}"
11,y_max,0.5972222222222222,"{'C': 485.93775316076346, 'kernel': 'sigmoid', 'gamma': 108.81815334227431, 'degree': 5, 'coef0': 79.67173858247334, 'random_state': 42}"
12,y_min,0.625,"{'C': 454.2633209033915, 'kernel': 'rbf', 'gamma': 34.30222728169581, 'degree': 2, 'coef0': 349.2604958864359, 'random_state': 42}"
13,y_mean,0.6805555555555556,"{'C': 753.2118455081788, 'kernel': 'sigmoid', 'gamma': 573.6806998368569, 'degree': 4, 'coef0': 191.32988713415415, 'random_state': 42}"
14,y_median,0.6805555555555556,"{'C': 354.36419198386204, 'kernel': 'rbf', 'gamma': 725.0976183293263, 'degree': 1, 'coef0': 164.38073892330567, 'random_state': 42}"
15,y_variance,0.625,"{'C': 572.3831702947057, 'kernel': 'sigmoid', 'gamma': 802.6792989838995, 'degree': 3, 'coef0': 596.82841673647, 'random_state': 42}"
16,y_standard_deviation,0.6388888888888888,"{'C': 539.6989776269684, 'kernel': 'sigmoid', 'gamma': 920.8500754963505, 'degree': 5, 'coef0': 35.06821309742286, 'random_state': 42}"
17,y_1st_percentile,0.6805555555555556,"{'C': 932.8437421513984, 'kernel': 'rbf', 'gamma': 76.19497465165529, 'degree': 1, 'coef0': 716.1021532111814, 'random_state': 42}"
18,y_99th_percentile,0.6527777777777778,"{'C': 736.9049535354794, 'kernel': 'rbf', 'gamma': 198.66803476043663, 'degree': 1, 'coef0': 253.93870693651212, 'random_state': 42}"
19,y_displacement_between_99th_percentile_and_1st_percentile,0.6111111111111112,"{'C': 921.1028472567747, 'kernel': 'sigmoid', 'gamma': 671.1108525476836, 'degree': 5, 'coef0': 405.894681231788, 'random_state': 42}"
20,y_skewness,0.7083333333333334,"{'C': 155.11253551942266, 'kernel': 'sigmoid', 'gamma': 438.4961208083059, 'degree': 2, 'coef0': 304.4365359897208, 'random_state': 42}"
21,y_kurtosis,0.7361111111111112,"{'C': 658.906663807721, 'kernel': 'sigmoid', 'gamma': 123.39963957494459, 'degree': 5, 'coef0': 430.895740780123, 'random_state': 42}"
22,pressure_max,0.75,"{'C': 900.7210521279753, 'kernel': 'sigmoid', 'gamma': 664.2476863850907, 'degree': 4, 'coef0': 640.62246688373, 'random_state': 42}"
23,pressure_min,0.7083333333333334,"{'C': 450.8216037535075, 'kernel': 'sigmoid', 'gamma': 506.88347372355327, 'degree': 5, 'coef0': 131.5978892132827, 'random_state': 42}"
24,pressure_mean,0.6805555555555556,"{'C': 78.73338092611102, 'kernel': 'rbf', 'gamma': 37.853622867310875, 'degree': 2, 'coef0': 752.2835431411147, 'random_state': 42}"
25,pressure_median,0.6111111111111112,"{'C': 898.7847807034756, 'kernel': 'sigmoid', 'gamma': 33.97560744313927, 'degree': 3, 'coef0': 178.4867727751572, 'random_state': 42}"
26,pressure_variance,0.5694444444444444,"{'C': 769.4289104107559, 'kernel': 'sigmoid', 'gamma': 934.8242658006172, 'degree': 5, 'coef0': 203.6536995167006, 'random_state': 42}"
27,pressure_standard_deviation,0.6388888888888888,"{'C': 605.6400408925371, 'kernel': 'sigmoid', 'gamma': 515.8320748980262, 'degree': 5, 'coef0': 158.1442185521463, 'random_state': 42}"
28,pressure_1st_percentile,0.6666666666666666,"{'C': 265.9137418870399, 'kernel': 'sigmoid', 'gamma': 76.71357699345396, 'degree': 2, 'coef0': 89.64763253237341, 'random_state': 42}"
29,pressure_99th_percentile,0.8611111111111112,"{'C': 0.7443925261700812, 'kernel': 'sigmoid', 'gamma': 930.8280412652279, 'degree': 3, 'coef0': 951.1527117790619, 'random_state': 42}"
30,pressure_displacement_between_99th_percentile_and_1st_percentile,0.6388888888888888,"{'C': 927.9535022465976, 'kernel': 'sigmoid', 'gamma': 955.0824897592022, 'degree': 1, 'coef0': 249.28601343250153, 'random_state': 42}"
